0;730;z
11;681
44;572
109;463
185;354
299;245
414;169
523;114
632;76
740;49
849;22
958;5
1067;0
1176;0
1285;5
1394;22
1503;44
1612;76
1720;125
1829;185
1938;278
2009;354
2074;463
2123;572
2145;681
2151;789
2145;898
2118;1007
2053;1116
1966;1225
1829;1328
1720;1383
1612;1426
1503;1465
1394;1492
849;1633
740;1661
632;1693
523;1737
414;1786
305;1857
185;1987
131;2096
98;2205
98;2314
103;2423
136;2532
196;2641
289;2750
414;2853
523;2907
632;2946
740;2967
849;2989
958;2995
1067;3000
1176;2991
1285;2984
1394;2967
1503;2943
1612;2891
1720;2832
1813;2750
1911;2641
1971;2532
2025;2396;kz
