0;0
0;3000;
1006;3000
1079;2999
1140;2992
1208;2984
1275;2966
1342;2944
1410;2916
1477;2878
1544;2836
1588;2799
1632;2761
1684;2706
1725;2650
1759;2594
1783;2539
1804;2484
1822;2428
1833;2372
1838;2316
1840;2250
1838;2184
1833;2128
1822;2072
1804;2016
1783;1961
1759;1906
1725;1850
1684;1794
1632;1739
1588;1701
1544;1664
1477;1622
1410;1584
1342;1556
1275;1534
1208;1516
1140;1508
1079;1501
1006;1500
0;1500;zk

1000;1500
1166;1500
1239;1499
1300;1492
1368;1484
1435;1466
1502;1444
1570;1416
1637;1378
1704;1336
1748;1299
1792;1261
1844;1206
1885;1150
1919;1094
1943;1039
1964;984
1982;928
1993;872
1998;816
2000;750
1998;684
1993;628
1982;572
1964;516
1943;461
1919;406
1885;350
1844;294
1792;239
1748;201
1704;164
1637;122
1570;84
1502;56
1435;34
1368;16
1300;8
1239;1
1166;0
0;0;k
