2509;589;z
2422;478
2349;402
2277;328
2165;244
2053;167
1942;113
1830;69
1719;33
1607;17
1504;2
1384;0
1272;2
1161;17
1049;33
937;69
826;113
714;167
603;244
491;328
419;402
346;478
259;589
190;700
134;811
95;922
59;1033
30;1144
11;1256
3;1367
0;1500
3;1633
11;1744
30;1856
59;1967
95;2078
134;2189
190;2300
259;2411
346;2522
419;2598
491;2672
603;2756
714;2833
826;2887
937;2931
1049;2967
1161;2983
1272;2998
1384;3000
1504;2998
1607;2983
1719;2967
1830;2931
1942;2887
2053;2833
2165;2756
2277;2672
2349;2598
2422;2522
2509;2411;kz
