2745;2046
2522;1009
2496;905
2465;802
2423;698
2372;594
2310;490
2230;382
2133;268
2029;185
1945;128
1822;60
1718;22
1615;3
1511;0
1407;16
1303;53
1200;112
1096;205
1029;283
966;387
920;490
894;594
876;698
870;802
868;905
878;1009
894;1113
915;1216
946;1320
980;1424
1020;1510
1081;1631
1138;1735
1223;1839
1303;1922
1407;2010
1511;2072
1615;2113
1718;2136
1822;2150
1926;2144
2029;2124
2133;2079
2237;2020
2340;1932
2413;1839
2465;1735
2508;1631
2535;1527
2548;1424
2548;1216
2541;1113
2522;1009
2413;490
2392;387
2390;335
2400;283
2425;231
2470;179
2548;128
2600;107
2652;94
2703;91
2755;96
2859;122
2963;164
3066;226
3170;302
3263;387
3367;490
3440;594
3497;698
3556;802
3598;905
3637;1009
3668;1113
3689;1216
3707;1320
3710;1424
3711;1527
3700;1631
3689;1735
3668;1839
3634;1942
3591;2046
3543;2150
3486;2253
3412;2357
3377;2399
3274;2518
3170;2606
3066;2679
2963;2746
2859;2803
2755;2850
2652;2887
2548;2922
2444;2946
2340;2969
2237;2987
2133;2993
2029;3000
1926;2997
1822;2993
1718;2984
1615;2969
1511;2950
1407;2920
1303;2888
1200;2852
1096;2803
992;2749
889;2687
785;2611
675;2528
600;2461
500;2357
417;2253
345;2150
282;2046
227;1942
184;1839
142;1735
101;1631
78;1527
51;1424
30;1320
15;1216
4;1113
0;1009
1;899
3;790
15;680
30;570
47;460
69;351
106;241
142;131
194;22
245;-88
270;-138
370;-291
474;-412
578;-511
681;-604
785;-675
889;-730
992;-785
1096;-825
1200;-862
1303;-895
1407;-922
1511;-946
1615;-960
1718;-977
1822;-988
1926;-994
2029;-999
2133;-994
2237;-990
2340;-982
2444;-971
2548;-955
2652;-933
2755;-906
2859;-873
2963;-834
3066;-779
3170;-727
3274;-661
3377;-587
3481;-494
3585;-387
3689;-264;k
