1615;502;z
1572;422
1518;342
1472;289
1426;235
1356;175
1286;119
1217;81
1147;50
1077;24
1007;12
942;2
867;0
797;2
727;12
657;24
587;50
517;81
447;119
378;175
308;235
262;289
216;342
162;422
119;502
84;581
60;661
37;741
19;820
7;900
2;979
0;1075
2;1170
7;1250
19;1330
37;1409
60;1489
84;1569
119;1648
162;1728
216;1808
262;1861
308;1915
378;1975
447;2030
517;2069
587;2100
657;2126
727;2137
797;2148
867;2150
942;2148
1007;2137
1077;2126
1147;2100
1217;2069
1286;2030
1356;1975
1426;1915
1472;1861
1518;1808
1572;1728
1615;1648
1650;1569;kz
