650;0;h
2500;3000;hk
3150;699;z
3149;761
3146;813
3140;865
3128;917
3116;968
3101;1020
3081;1072
3057;1124
3025;1175
2999;1211
2972;1245
2932;1284
2892;1320
2852;1345
2812;1366
2771;1383
2730;1390
2690;1397
2651;1398
2607;1397
2569;1390
2529;1383
2488;1366
2449;1345
2408;1320
2368;1284
2328;1245
2301;1211
2275;1175
2243;1124
2219;1072
2199;1020
2184;968
2172;917
2162;865
2154;813
2151;761
2150;699
2151;637
2154;585
2162;533
2172;481
2184;430
2199;378
2219;326
2243;274
2275;223
2301;187
2328;153
2368;114
2408;78
2449;53
2488;32
2529;15
2569;8
2607;1
2651;0
2690;1
2730;8
2771;15
2812;32
2852;53
2892;78
2932;114
2972;153
2999;187
3025;223
3057;274
3081;326
3101;378
3116;430
3128;481
3140;533
3146;585
3149;637
3150;699;zk
1000;2299;z
999;2361
996;2413
990;2465
978;2517
966;2568
951;2620
931;2672
907;2724
875;2775
849;2811
822;2845
782;2884
742;2920
702;2945
662;2966
621;2983
580;2990
540;2997
501;2998
457;2997
419;2990
379;2983
338;2966
299;2945
258;2920
218;2884
178;2845
151;2811
125;2775
93;2724
69;2672
49;2620
34;2568
22;2517
12;2465
4;2413
1;2361
0;2299
1;2237
4;2185
12;2133
22;2081
34;2030
49;1978
69;1926
93;1874
125;1823
151;1787
178;1753
218;1714
258;1678
299;1653
338;1632
379;1615
419;1608
457;1601
501;1600
540;1601
580;1608
621;1615
662;1632
702;1653
742;1678
782;1714
822;1753
849;1787
875;1823
907;1874
931;1926
951;1978
966;2030
978;2081
990;2133
996;2185
999;2237
1000;2299;zk
