1650;1075;z
1650;1076
1648;1170
1643;1250
1632;1330
1615;1409
1593;1489
1570;1569
1536;1648
1496;1728
1444;1808
1401;1861
1357;1915
1291;1975
1224;2030
1158;2069
1091;2100
1025;2126
958;2137
892;2148
825;2150
753;2148
692;2137
625;2126
559;2100
492;2069
426;2030
359;1975
293;1915
249;1861
206;1808
154;1728
114;1648
80;1569
57;1489
35;1409
18;1330
7;1250
2;1170
0;1075
2;979
7;900
18;820
35;741
57;661
80;581
114;502
154;422
206;342
249;289
293;235
359;175
426;119
492;81
559;50
625;24
692;12
753;2
825;0
892;2
958;12
1025;24
1091;50
1158;81
1224;119
1291;175
1357;235
1401;289
1444;342
1496;422
1536;502
1570;581
1593;661
1615;741
1632;820
1643;900
1648;979
1650;1074
1650;1075;zk
1650;0
1650;3000;k
