690;1600;z
740;1600
845;1599
908;1591
974;1582
1042;1563
1110;1540
1176;1511
1243;1470
1311;1425
1355;1385
1398;1345
1451;1286
1493;1227
1526;1167
1550;1108
1571;1049
1588;990
1600;930
1604;871
1607;800
1604;729
1600;670
1588;610
1571;551
1550;492
1526;432
1493;373
1451;314
1398;255
1355;214
1311;175
1243;130
1176;89
1110;60
1042;37
974;18
908;9
845;1
773;0
706;1
639;9
572;18
504;37
437;60
370;89
303;130
236;175
192;214
149;255
96;314
54;373
21;432
-3;492;zk
50;2414;z
60;2466
75;2518
94;2570
115;2621
144;2673
181;2725
227;2777
265;2812
303;2847
361;2886
421;2922
480;2947
538;2968
597;2984
656;2992
714;2999
773;3000
837;2999
890;2992
950;2984
1009;2968
1068;2947
1126;2922
1185;2886
1244;2847
1282;2812
1321;2777
1366;2725
1402;2673
1432;2621
1453;2570
1471;2518
1486;2466
1497;2414
1501;2362
1502;2300
1501;2238
1497;2186
1486;2134
1471;2082
1453;2030
1432;1978
1402;1927
1366;1875
1321;1823
1282;1788
1244;1753
1185;1714
1126;1678
1068;1653
1009;1632
950;1615
890;1608
837;1601
743;1600
690;1600;zk
